,Year,Month,soi3m,nino5m,CEI,category,code
2016-02-01,2016,2,-1.5010597204909277,2.9989256909277904,4.499985411418718,CEI NINO,3.0
2016-03-01,2016,3,-1.2081818670354065,2.823536858617146,4.031718725652553,CEI NINO,3.0
2016-04-01,2016,4,-1.0867477745041962,2.402130702422671,3.488878476926867,CEI NINO,3.0
2016-05-01,2016,5,-0.3183799805982651,1.8627213633207653,2.1811013439190305,NINO3.4 NINO,1.0
2016-06-01,2016,6,0.08456482948209651,1.2812975309057988,1.1967327014237024,NINO3.4 NINO,1.0
2016-07-01,2016,7,0.8222935081501912,0.6600663455394258,-0.16222716261076542,NINO3.4 NINO,1.0
2016-08-01,2016,8,0.9038352737344382,0.13523989811279194,-0.7685953756216463,Neutral,0.0
2016-09-01,2016,9,1.0071959441289946,-0.24257523593885313,-1.2497711800678477,SOI NINA,-2.0
2016-10-01,2016,10,0.6978476525673774,-0.5053037654181213,-1.2031514179854987,NINO3.4 NINA,-1.0
2016-11-01,2016,11,0.3589361391551274,-0.691334167329635,-1.0502703064847625,NINO3.4 NINA,-1.0
2016-12-01,2016,12,-0.018253406193818236,-0.7155338848664288,-0.6972804786726106,NINO3.4 NINA,-1.0
2017-01-01,2017,1,0.14031085396161777,-0.6867622337233371,-0.8270730876849549,NINO3.4 NINA,-1.0
2017-02-01,2017,2,0.1576406504965991,-0.5648177287415104,-0.7224583792381094,NINO3.4 NINA,-1.0
2017-03-01,2017,3,0.36874945875632026,-0.38075798786719556,-0.7495074466235159,Neutral,0.0
2017-04-01,2017,4,0.22582928413786177,-0.14238682880769887,-0.36821611294556067,Neutral,0.0
